old_code,old_category_path,new_code,new_category_path,similarity_score,match_status
22191801,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 뜨개질 > 뜨개질바늘,6223575,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 뜨개질 > 뜨개질바늘,100.00%,high_confidence
22191802,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 뜨개질 > 패키지,6223576,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 뜨개질 > 패키지,100.00%,high_confidence
22191900,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 기타수공예,6223577,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 기타수공예,100.00%,high_confidence
22200001,침구/커튼/장식소품 > 홈데코 > 쿠션/방석 > 팔꿈치/손목쿠션,6223579,침구/커튼/장식소품 > 홈데코 > 쿠션/방석 > 팔꿈치/손목쿠션,100.00%,high_confidence
22191100,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 털실/수세미실,6223566,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 털실/수세미실,100.00%,high_confidence
22200100,침구/커튼/장식소품 > 홈데코 > 주방데코 > 주방장갑,6223580,침구/커튼/장식소품 > 홈데코 > 주방데코 > 주방장갑,100.00%,high_confidence
22200200,침구/커튼/장식소품 > 홈데코 > 커버류 > 에어컨커버,6223581,침구/커튼/장식소품 > 홈데코 > 커버류 > 에어컨커버,100.00%,high_confidence
23010100,TV/냉장고/세탁기 > 3D/스마트 TV > LG > 101cm,6223583,TV/냉장고/세탁기 > 3D/스마트 TV > LG > 101cm,100.00%,high_confidence
23010101,TV/냉장고/세탁기 > 3D/스마트 TV > LG > 127cm이상,6223584,TV/냉장고/세탁기 > 3D/스마트 TV > LG > 127cm이상,100.00%,high_confidence
23010102,TV/냉장고/세탁기 > 3D/스마트 TV > LG > 76cm,6223585,TV/냉장고/세탁기 > 3D/스마트 TV > LG > 76cm,100.00%,high_confidence
23010200,TV/냉장고/세탁기 > 3D/스마트 TV > 삼성 > 101cm,6223586,TV/냉장고/세탁기 > 3D/스마트 TV > 삼성 > 101cm,100.00%,high_confidence
23010201,TV/냉장고/세탁기 > 3D/스마트 TV > 삼성 > 127cm이상,6223587,TV/냉장고/세탁기 > 3D/스마트 TV > 삼성 > 127cm이상,100.00%,high_confidence
23010202,TV/냉장고/세탁기 > 3D/스마트 TV > 삼성 > 76cm,6223588,TV/냉장고/세탁기 > 3D/스마트 TV > 삼성 > 76cm,100.00%,high_confidence
23010300,TV/냉장고/세탁기 > 3D/스마트 TV > 중소브랜드,6223589,TV/냉장고/세탁기 > 3D/스마트 TV > 중소브랜드,100.00%,high_confidence
23020100,TV/냉장고/세탁기 > DVD/블루레이/Divx > Divx플레이어,6223590,TV/냉장고/세탁기 > DVD/블루레이/Divx > Divx플레이어,100.00%,high_confidence
22191200,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 티슈커버/케이스 > 티슈커버,6223567,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 티슈커버/케이스 > 티슈커버,100.00%,high_confidence
22191003,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 퀼트/펠트용품 > 완제품,6223565,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 퀼트/펠트용품 > 완제품,100.00%,high_confidence
23020300,TV/냉장고/세탁기 > DVD/블루레이/Divx > 기타주변기기,6223592,TV/냉장고/세탁기 > DVD/블루레이/Divx > 기타주변기기,100.00%,high_confidence
22190603,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 수예/자수 > 완제품,6223552,침구/커튼/장식소품 > 홈패브릭/DIY/수예 > 수예/자수 > 완제품,100.00%,high_confidence
